"","year","inflation","interest_rate","exg_rate","gdp_growth","deficit"
"1",2023,6.6,13,139.83,5,5.4
"2",2022,7.65687456104604,12.3358409030593,117.865989201683,4.8466348557707,5.8
"3",2021,6.11090916378171,12.0799983467507,109.637746592367,7.59048947333467,7.2
"4",2020,5.40481467184487,11.9957846171539,106.450780158517,-0.272766327438816,8.13
"5",2019,5.23585999425444,12.4411328875147,101.99129838935,5.11415885767801,7.4
"6",2018,4.68981976129862,13.0607588353757,101.301574049018,5.64794640709219,6.91
"7",2017,8.00572279134675,13.6675725164372,103.410004519014,3.83795817364721,7.37
"8",2016,6.29715752456265,16.5596306460545,101.504369498594,4.21351706814744,7.45
"9",2015,6.58217440250403,16.086613785739,98.1784533265271,4.96772112759767,6.68
"10",2014,6.87815499275941,16.5139307062948,87.9221638089727,5.02011100232484,5.75
"11",2013,5.71749357037741,17.3134576914047,86.1228788982654,3.7978483925754,5.25
"12",2012,9.37776748155114,19.7234066533954,84.5296017573529,4.56867961444982,5.29
"13",2011,14.0224939638475,15.0467599904394,88.8107699710456,5.1211061197056,3.64
"14",2010,3.96138889115389,14.3715,79.2331517045455,8.05847360290906,3.67
"15",2009,9.2341259239465,14.8045412422178,77.352012297579,3.30693981631089,3.12
"16",2008,26.2398166445063,14.0169393773033,69.175319816226,0.232282744812977,1.95
"17",2007,9.75888023027529,13.340343675809,67.3176381242857,6.85072976998784,0.95
"18",2006,14.4537342081708,13.6355339080567,72.1008350178621,6.47249430015484,0.43
"19",2005,10.3127783574683,12.8825,75.5541094514311,5.90666607980057,0.19
"20",2004,11.6240355442427,12.5316666666667,79.1738760642136,5.10429977629738,-0.5
"21",2003,9.81569062979654,16.5733333333333,75.9355694444444,2.93247554570904,0.73
"22",2002,1.9613082173916,18.4533333333333,78.7491416666667,0.546859530175595,1.3
"23",2001,5.73859814341461,19.6658333333333,78.563195,3.77990649795343,0.53
"24",2000,9.98002515350982,22.3391666666667,76.1755416666667,0.599695390807426,-0.38
"25",1999,5.74200109520484,22.38,70.3262166666667,2.30538859522412,-0.84
"26",1998,6.72243650753928,29.49,60.3667,3.29021372249065,0.03
"27",1997,11.3618450505784,30.245,58.7318416666667,0.474901921293579,0.91
"28",1996,8.8640874157751,33.7866666666667,57.1148666666667,4.14683926876013,0.49
"29",1995,1.55432816055013,28.7958333333333,51.4298333333333,4.40621652482287,0.23
"30",1994,28.8143894306732,36.24,56.050575,2.632784517837,4.14
"31",1993,45.9788813036218,29.9891666666667,58.0013333333333,0.353197256227247,8.57
"32",1992,27.3323644475784,21.0675,32.2168333333333,-0.799493958641349,8.28
"33",1991,20.0844955754632,18.9975,27.5078666666667,1.43834679171559,6.56
"34",1990,17.78181442992,18.75,22.9147666666667,4.19205097155167,3.28
